ASIN,Title,Binding,Creator,Edition,Author,ItemDimensionsHeight,ItemDimensionsLength,ItemDimensionsWidth,ItemDimensionsWeight,Label,LanguagesUnknown,LanguagesOriginal,LanguagesPublished,Amount,CurrencyCode,Manufacturer,NumberOfPages,PackageDimensionsHeight,PackageDimensionsLength,PackageDimensionsWidth,PackageDimensionsWeight,ProductGroup,ProductTypeName,PublicationDate,Publisher,SmallImageUrl,Studio,SalesRanking
1855204568,"Land Rover 90 & 110 Owner Manual (Official Handbooks)",Paperback," "," ","Brooklands Books Ltd",5.31,0.39,8.19,8.19,"Brooklands Books",english,english,english,22.95,USD,"Brooklands Books",146,0.39,8.19,5.28,0.44,Book,ABIS_BOOK,2006-03-05,"Brooklands Books",http://ecx.images-amazon.com/images/I/41K67H7338L._SL75_.jpg,"Brooklands Books",3686106
1855204762,"Land Rover Series III: 4x4 Performance Portfolio 1971-1985",Paperback," "," ","Clarke, R.M."," "," "," "," ","Brooklands Books",english,english,english,24.95,USD,"Brooklands Books",140,0.39,10.55,7.72,0.75,Book,ABIS_BOOK,1998-12-25,"Brooklands Books",http://ecx.images-amazon.com/images/I/51p2Y5t-f-L._SL75_.jpg,"Brooklands Books",4005640
1855205041,"Land Rover Defender 300 Tdi 1996-1998",Paperback," "," ","Brooklands Books Ltd",1.70,11.30,8.30,8.30,"Brooklands Books",english,english,english,99.95,USD,"Brooklands Books",528,1.73,11.42,8.27,4.28,Book,ABIS_BOOK,2006-03-05,"Brooklands Books",http://ecx.images-amazon.com/images/I/519ckjPs0uL._SL75_.jpg,"Brooklands Books",3106376
185520505X,"Range Rover Takes On the Competition (Brooklands Road Test Books)",Paperback," "," ","Clarke, R.M.",10.35,0.39,7.68,7.68,"Brooklands Books Ltd",english,english,english,24.95,USD,"Brooklands Books Ltd",140,0.30,10.60,7.70,0.95,Book,ABIS_BOOK,2000-07-24,"Brooklands Books Ltd",http://ecx.images-amazon.com/images/I/51GpT3Bb5xL._SL75_.jpg,"Brooklands Books Ltd",5043830
1855205173,"The Land Speed Record 1963-1999",Paperback," "," ","Clarke, R.M.",10.98,0.00,7.99,7.99,"Brooklands Books Ltd",english,english,english,24.95,USD,"Brooklands Books Ltd",140,0.40,10.60,7.80,0.95,Book,ABIS_BOOK,2000-09-17,"Brooklands Books Ltd",http://ecx.images-amazon.com/images/I/51CzSzc4gbL._SL75_.jpg,"Brooklands Books Ltd",1399361
1855205203,"Land Rover Discovery 1995-98 WSM",Paperback," "," ","Brooklands Books Ltd"," "," "," "," ","Brooklands Books",english,english,english,119.95,USD,"Brooklands Books",1058,2.20,11.60,8.20,5.40,Book,ABIS_BOOK,2006-03-05,"Brooklands Books",http://ecx.images-amazon.com/images/I/51ZF9FWGR6L._SL75_.jpg,"Brooklands Books",4640166
1855205270,"Land Rover: Restoration Portfolio",Paperback," ",Revised,"Clarke, R.M.",11.22,0.31,8.07,8.07,"Brooklands Books",english,english,english,22.95,USD,"Brooklands Books",140,0.47,11.34,8.11,1.19,Book,ABIS_BOOK,2001-04-19,"Brooklands Books",http://ecx.images-amazon.com/images/I/51EUozjN6TL._SL75_.jpg,"Brooklands Books",2380440
1855205289,"Land Rover 3.5-4.6 V8 Overhaul Man",Paperback," "," ","Brooklands Books Ltd"," "," "," "," ","Brooklands Books",english,english,english,29.95,USD,"Brooklands Books",48,0.39,11.34,8.19,0.71,Book,ABIS_BOOK,2006-03-05,"Brooklands Books",http://ecx.images-amazon.com/images/I/51yKWP3ftZL._SL75_.jpg,"Brooklands Books",2680139
1855205327,"Pontiac Fiero 1984-1988 -Performance Portfolio",Paperback," ",Revised,"Clarke, R.M.",10.33,0.30,7.78,7.78,"Brooklands Books Ltd",english,english,english,24.95,USD,"Brooklands Books Ltd",140,0.39,10.94,7.87,0.93,Book,ABIS_BOOK,2000-12-03,"Brooklands Books Ltd",http://ecx.images-amazon.com/images/I/51hztoT2UQL._SL75_.jpg,"Brooklands Books Ltd",1739135
1855205335,"Dodge WW2 Military Portfolio 1940-1945",Paperback," ",Revised,"Clarke, R.M.",10.43,0.31,7.72,7.72,"Brooklands Books Ltd",english,english,english,24.95,USD,"Brooklands Books Ltd",140,0.39,10.55,7.87,0.93,Book,ABIS_BOOK,2000-12-03,"Brooklands Books Ltd",http://ecx.images-amazon.com/images/I/51-La3o%2BIeL._SL75_.jpg,"Brooklands Books Ltd",2090755
