ASIN,Title,Binding,Creator,Edition,Author,ItemDimensionsHeight,ItemDimensionsLength,ItemDimensionsWidth,ItemDimensionsWeight,Label,LanguagesUnknown,LanguagesOriginal,LanguagesPublished,Amount,CurrencyCode,Manufacturer,NumberOfPages,PackageDimensionsHeight,PackageDimensionsLength,PackageDimensionsWidth,PackageDimensionsWeight,ProductGroup,ProductTypeName,PublicationDate,Publisher,SmallImageUrl,Studio,SalesRanking
1491509546,"Snow Blind (Monkeewrench Series)","MP3 CD","Foster, Mel","MP3 Una","Tracy, P. J.",7.50,0.50,5.37,5.37,"Brilliance Audio on MP3-CD",english,english,english,9.99,USD,"Brilliance Audio on MP3-CD"," ",0.50,6.75,5.25," ",Book,ABIS_BOOK,2014-07-15,"Brilliance Audio on MP3-CD",http://g-ecx.images-amazon.com/images/G/01/x-site/icons/no-img-sm._V192198896_.gif,"Brilliance Audio on MP3-CD"," "
1491509554,"Killer Weekend (Sun Valley Series)","Audio CD","Lane, Christopher",Unabridged,"Pearson, Ridley",5.50,0.75,5.00,5.00,"Brilliance Audio on CD Unabridged",english,english,english,9.99,USD,"Brilliance Audio on CD Unabridged"," ",0.75,5.50,5.00,0.52,Book,ABIS_BOOK,2014-06-03,"Brilliance Audio on CD Unabridged",http://g-ecx.images-amazon.com/images/G/01/x-site/icons/no-img-sm._V192198896_.gif,"Brilliance Audio on CD Unabridged"," "
1491509627,"The Hostage: A Presidential Agent Novel (Presidential Agent Series)","MP3 CD","Hill, Dick","MP3 Una","Griffin, W.E.B.",7.50,0.50,5.37,5.37,"Brilliance Audio on MP3-CD",english,english,english,14.99,USD,"Brilliance Audio on MP3-CD"," ",0.50,7.50,5.38," ",Book,ABIS_BOOK,2014-05-27,"Brilliance Audio on MP3-CD",http://g-ecx.images-amazon.com/images/G/01/x-site/icons/no-img-sm._V192198896_.gif,"Brilliance Audio on MP3-CD"," "
1491509651,"The Hunters: A Presidential Agent Novel (Presidential Agent Series)","MP3 CD","Hill, Dick","MP3 Una","Griffin, W.E.B.",7.50,0.50,5.37,5.37,"Brilliance Audio on MP3-CD",english,english,english,14.99,USD,"Brilliance Audio on MP3-CD"," ",0.50,7.50,5.38," ",Book,ABIS_BOOK,2014-05-27,"Brilliance Audio on MP3-CD",http://g-ecx.images-amazon.com/images/G/01/x-site/icons/no-img-sm._V192198896_.gif,"Brilliance Audio on MP3-CD"," "
1491509678,"Chill of Fear: A Bishop/Special Crimes Unit Novel (Fear Series)","MP3 CD","Hill, Dick","MP3 Una","Hooper, Kay",7.50,0.50,5.37,5.37,"Brilliance Audio on MP3-CD",english,english,english,9.99,USD,"Brilliance Audio on MP3-CD"," ",0.50,7.50,5.38," ",Book,ABIS_BOOK,2014-05-20,"Brilliance Audio on MP3-CD",http://g-ecx.images-amazon.com/images/G/01/x-site/icons/no-img-sm._V192198896_.gif,"Brilliance Audio on MP3-CD"," "
1491509708,"Tricky Business","MP3 CD","Hill, Dick","MP3 Una","Barry, Dave",7.50,0.50,5.37,5.37,"Brilliance Audio on MP3-CD",english,english,english,9.99,USD,"Brilliance Audio on MP3-CD"," ",0.50,7.50,5.38," ",Book,ABIS_BOOK,2014-06-01,"Brilliance Audio on MP3-CD",http://g-ecx.images-amazon.com/images/G/01/x-site/icons/no-img-sm._V192198896_.gif,"Brilliance Audio on MP3-CD"," "
1491509716,"Big Trouble","Audio CD","Hill, Dick",Unabridged,"Barry, Dave",5.50,0.62,6.50,6.50,"Brilliance Audio on CD Unabridged",english,english,english,9.99,USD,"Brilliance Audio on CD Unabridged"," ",0.63,6.50,5.50,0.52,Book,ABIS_BOOK,2014-06-01,"Brilliance Audio on CD Unabridged",http://g-ecx.images-amazon.com/images/G/01/x-site/icons/no-img-sm._V192198896_.gif,"Brilliance Audio on CD Unabridged",2392433
1491509740,"Dave Barry's Money Secrets: Like: Why Is There a Giant Eyeball on the Dollar?","MP3 CD","Hill, Dick","MP3 Una","Barry, Dave",7.50,0.50,5.37,5.37,"Brilliance Audio on MP3-CD",english,english,english,9.99,USD,"Brilliance Audio on MP3-CD"," ",0.50,7.50,5.38," ",Book,ABIS_BOOK,2014-06-01,"Brilliance Audio on MP3-CD",http://g-ecx.images-amazon.com/images/G/01/x-site/icons/no-img-sm._V192198896_.gif,"Brilliance Audio on MP3-CD"," "
1491509759,"Boogers Are My Beat: More Lies, But Some Actual Journalism from Dave Barry","Audio CD","Hill, Dick",Unabridged,"Barry, Dave"," "," "," "," ","Brilliance Audio on CD Unabridged",english,english,english,9.99,USD,"Brilliance Audio on CD Unabridged"," "," "," "," "," ",Book,ABIS_BOOK,2014-06-01,"Brilliance Audio on CD Unabridged",http://g-ecx.images-amazon.com/images/G/01/x-site/icons/no-img-sm._V192198896_.gif,"Brilliance Audio on CD Unabridged"," "
1491509783,"Dave Barry Is Not Taking This Sitting Down","MP3 CD","Hill, Dick","MP3 Una","Barry, Dave",7.50,0.50,5.37,5.37,"Brilliance Audio on MP3-CD",english,english,english,9.99,USD,"Brilliance Audio on MP3-CD"," ",0.50,7.50,5.38," ",Book,ABIS_BOOK,2014-06-01,"Brilliance Audio on MP3-CD",http://g-ecx.images-amazon.com/images/G/01/x-site/icons/no-img-sm._V192198896_.gif,"Brilliance Audio on MP3-CD",2473241
